,G_MO,G_NOD,G_R,G_Rnd,R_D,Y
1953-12-31,0.006236350675677808,0.0009134048969427093,0.24769808485454142,0.2530210306332765,0.006577565148673648,1.0130657703246482
1954-03-31,0.006411342229544627,0.0009025675954213307,0.23954092110781236,0.24504969574193564,0.0065669573322034765,0.9994250289012436
1954-06-30,0.00656663921261735,0.0008837730395697841,0.23116317021630825,0.23684603638935584,0.006535809920539334,0.9919864238712925
1954-09-30,0.006696079267272359,0.0008853478666454335,0.22519382690800915,0.2310045583086361,0.006441668960765051,0.9947341220313157
1954-12-31,0.00680367746115911,0.000915879658232957,0.22306198753205525,0.2289497853349814,0.006396060690187299,1.0057918662200354
1955-03-31,0.0068853857102278895,0.0009538196654861146,0.22130851754118844,0.22724008358593023,0.006182440488007654,1.0260342465660048
1955-06-30,0.007135695855597528,0.0010404178276387042,0.21992322594839356,0.22601850397635237,0.00631857525040015,1.0343618106608448
1955-09-30,0.007493787044726172,0.001102311900772624,0.21997649267194738,0.2263679678159009,0.006572776443422728,1.039995018119077
1955-12-31,0.007998170272863309,0.0011683787928292006,0.2136399620717345,0.22046975355176862,0.007034020293414822,1.0379858197465466
1956-03-31,0.00861271392410388,0.0012317207345413999,0.21264911984442397,0.22003011303398642,0.007684257764354869,1.0258414131281106
1956-06-30,0.009177025583452004,0.0013438773672858502,0.21690502870376194,0.2247381769199281,0.008159912918485659,1.0263403160670583
1956-09-30,0.009615719984371295,0.0014613007856174014,0.21201264407379627,0.22016706327255017,0.008291979920856766,1.0174780289560197
1956-12-31,0.010064889810736185,0.0015066132666203857,0.21580452070056994,0.22436279724468577,0.008402266294613688,1.0262421073784358
1957-03-31,0.010288367432536829,0.0015794694701350006,0.21952444047210581,0.2282333384345076,0.008095871828274846,1.02486407211402
1957-06-30,0.010439041327841913,0.0017627705701874728,0.21709164487920996,0.22576791563686438,0.007919569244598355,1.0147216809667583
1957-09-30,0.010499837339643618,0.0019167715983517432,0.21723340770567603,0.22581647344696792,0.007902442198071843,1.0166734664753068
1957-12-31,0.010528120754104397,0.0020938514918306668,0.22085087813532014,0.2292851473975939,0.00793182899465573,0.9982878462014837
1958-03-31,0.010357017680602845,0.0022529608181709776,0.21626567018602233,0.22436972704845423,0.00792043642944907,0.9646055869300907
1958-06-30,0.010333944284955604,0.002318199191885775,0.2215349509428871,0.22955069603595693,0.007970850390410069,0.9631505441794581
1958-09-30,0.010420214254365978,0.002309344780697325,0.22110366975678145,0.22921453923045013,0.008147078712390388,0.9773295972114714
1958-12-31,0.010625711684202585,0.0022156753063471758,0.22363231765855368,0.23204235403640908,0.008280987188865656,0.9918025785504152
1959-03-31,0.010880230699213815,0.0021367673286542656,0.21928378316258457,0.22802724653314413,0.00834085555587745,1.002257785691297
1959-06-30,0.011064184161558997,0.0020915428949117147,0.21934570157111768,0.22831834283776495,0.00848863180490656,1.0159397478199745
1959-09-30,0.011085018158101617,0.0021878325312042666,0.21823821413896877,0.22713539976586614,0.008444265909911207,1.0076197063055272
1959-12-31,0.010987276153477965,0.002356581299125274,0.21369873246923146,0.22232942732358416,0.00855681489401034,1.001357616332492
